arrangement_id	authoritative_factor_count	authoritative_parse_status	canonical_signature_match	historical_factor_count	notes	refined_classification
209	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
210	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
211	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
212	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
213	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
214	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
215	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
216	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
217	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
218	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
219	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
220	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
221	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
222	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
223	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
224	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
225	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
226	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
227	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
228	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
229	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
230	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
231	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
232	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
233	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
234	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
235	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
236	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
237	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
238	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
239	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
240	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
241	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
242	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
243	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
244	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
245	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
246	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
247	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
248	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
249	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
250	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
251	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
252	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
253	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
254	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
255	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
256	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
257	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
258	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
259	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
260	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		PARAMETER_RENAMING_DIFFERENCE
261	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
262	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
263	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
264	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
265	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
266	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
267	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		PARAMETER_RENAMING_DIFFERENCE
268	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
269	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		PARAMETER_RENAMING_DIFFERENCE
270	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
271	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
272	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
273	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
274	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
275	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		PARAMETER_RENAMING_DIFFERENCE
276	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
