arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
33	parsed	"[""(x-y)"", ""x"", ""y"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x-A0*y+A1*z-A0*t)"", ""(z+t)""]"	Q(parameters)		(x - y)xy(y + t)(x + t)z(A_{0}x - A_{0}y + A_{1}z - A_{0}t)(z + t)	8
34	parsed	"[""(x-y)"", ""x"", ""y"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A0*y+A1*z+A0*t)"", ""(z+t)""]"	Q(parameters)		(x - y)xy(y + t)(x + t)z(A_{0}x + A_{0}y + A_{1}z + A_{0}t)(z + t)	8
35	parsed	"[""(x-y)"", ""x"", ""y"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A1*y+(-A0+A1)*z+A1*t)"", ""(z+t)""]"	Q(parameters)		(x - y)xy(y + t)(x + t)z(A_{0}x + A_{1}y + (-A_{0} + A_{1})z + A_{1}t)(z + t)	8
36	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(x+z)"", ""t"", ""((A0-A1)*y+(A0-A1)*z+A0*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(x + z)t((A_{0} - A_{1})y + (A_{0} - A_{1})z + A_{0}t)(x + y + z + t)	8
37	parsed	"[""x"", ""y"", ""(A0*x+(A0+A1)*y)"", ""z"", ""(x+z)"", ""t"", ""(A1*y+A2*z-A0*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + (A_{0} + A_{1})y)z(x + z)t(A_{1}y + A_{2}z - A_{0}t)(x + y + z + t)	8
38	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(x+z)"", ""t"", ""((A0-A1)*y+A0*z+A2*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(x + z)t((A_{0} - A_{1})y + A_{0}z + A_{2}t)(x + y + z + t)	8
39	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(x+z)"", ""t"", ""(A0*y+A0*z+A2*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(x + z)t(A_{0}y + A_{0}z + A_{2}t)(x + y + z + t)	8
40	parsed	"[""(x-y)"", ""x"", ""y"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A1*y+A2*z+A1*t)"", ""(z+t)""]"	Q(parameters)		(x - y)xy(y + t)(x + t)z(A_{0}x + A_{1}y + A_{2}z + A_{1}t)(z + t)	8
41	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A1*y+A1*z+A2*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)zt(x + y + z + t)(A_{0}x + A_{1}y + A_{1}z + A_{2}t)	8
42	parsed	"[""(x-y)"", ""x"", ""y"", ""(x+t)"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x-A0*y+A1*z+A2*t)""]"	Q(parameters)		(x - y)xy(x + t)(y + t)z(z + t)(A_{0}x - A_{0}y + A_{1}z + A_{2}t)	8
