category,arrangement_a,arrangement_b,same_singularity_profile,same_hodge_profile,same_modular_form,modular_form_a,modular_form_b,singularity_profile_a,singularity_profile_b,hodge_profile_a,hodge_profile_b,note,flag_83_vs_84,flag_84_vs_84a,flag_2_vs_85,flag_hodge_cluster_3_51
same_hodge_different_singularity,34,41,False,True,True,,,p3=13|p4_0=2|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,p3=22|p4_0=3|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=2|h11=48|euler=92,h12=2|h11=48|euler=92,,False,False,False,False
same_hodge_different_singularity,34,47,False,True,True,,,p3=13|p4_0=2|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,p3=19|p4_0=2|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=2|h11=48|euler=92,h12=2|h11=48|euler=92,,False,False,False,False
same_hodge_different_singularity,35,56,False,True,True,,,p3=24|p4_0=0|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2,p3=33|p4_0=1|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,h12=5|h11=41|euler=72,h12=5|h11=41|euler=72,,False,False,False,False
same_hodge_different_singularity,35,62,False,True,True,,,p3=24|p4_0=0|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2,p3=36|p4_0=0|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=5|h11=41|euler=72,h12=5|h11=41|euler=72,,False,False,False,False
same_hodge_different_singularity,36,57,False,True,True,,,p3=20|p4_0=1|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2,p3=29|p4_0=2|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,h12=4|h11=42|euler=76,h12=4|h11=42|euler=76,,False,False,False,False
same_hodge_different_singularity,36,63,False,True,True,,,p3=20|p4_0=1|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2,p3=32|p4_0=1|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=4|h11=42|euler=76,h12=4|h11=42|euler=76,,False,False,False,False
same_hodge_different_singularity,37,58,False,True,True,,,p3=16|p4_0=2|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2,p3=25|p4_0=3|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,h12=3|h11=43|euler=80,h12=3|h11=43|euler=80,,False,False,False,False
same_hodge_different_singularity,37,64,False,True,True,,,p3=16|p4_0=2|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2,p3=28|p4_0=2|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=3|h11=43|euler=80,h12=3|h11=43|euler=80,,False,False,False,False
same_hodge_different_singularity,39,45,False,True,True,,,p3=30|p4_0=1|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,p3=27|p4_0=0|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=4|h11=46|euler=84,h12=4|h11=46|euler=84,,False,False,False,False
same_hodge_different_singularity,4,9,False,True,True,,,p3=16|p4_0=1|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3,p3=13|p4_0=0|p4_1=5|p5_0=0|p5_1=1|p5_2=2|l3=3,h12=2|h11=60|euler=116,h12=2|h11=60|euler=116,,False,False,False,False
same_hodge_different_singularity,40,46,False,True,True,,,p3=26|p4_0=2|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,p3=23|p4_0=1|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=3|h11=47|euler=88,h12=3|h11=47|euler=88,,False,False,False,False
same_hodge_different_singularity,41,47,False,True,True,,,p3=22|p4_0=3|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,p3=19|p4_0=2|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=2|h11=48|euler=92,h12=2|h11=48|euler=92,,False,False,False,False
same_hodge_different_singularity,48,66,False,True,True,,,p3=40|p4_0=0|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=46|p4_0=0|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,h12=7|h11=35|euler=56,h12=7|h11=35|euler=56,,False,False,False,False
same_hodge_different_singularity,49,67,False,True,True,,,p3=36|p4_0=1|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=42|p4_0=1|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,h12=6|h11=36|euler=60,h12=6|h11=36|euler=60,,False,False,False,False
same_hodge_different_singularity,5,11,False,True,True,,,p3=12|p4_0=2|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3,p3=9|p4_0=1|p4_1=5|p5_0=0|p5_1=1|p5_2=2|l3=3,h12=1|h11=61|euler=120,h12=1|h11=61|euler=120,,False,False,False,False
same_hodge_different_singularity,5,14,False,True,True,,,p3=12|p4_0=2|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3,p3=6|p4_0=0|p4_1=7|p5_0=0|p5_1=2|p5_2=1|l3=3,h12=1|h11=61|euler=120,h12=1|h11=61|euler=120,,False,False,False,False
same_hodge_different_singularity,50,68,False,True,True,,,p3=32|p4_0=2|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=38|p4_0=2|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,h12=5|h11=37|euler=64,h12=5|h11=37|euler=64,,False,False,False,False
same_hodge_different_singularity,51,69,False,True,True,,,p3=28|p4_0=3|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=34|p4_0=3|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,h12=4|h11=38|euler=68,h12=4|h11=38|euler=68,,False,False,False,False
same_hodge_different_singularity,52,70,False,True,True,,,p3=24|p4_0=4|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=30|p4_0=4|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,h12=3|h11=39|euler=72,h12=3|h11=39|euler=72,,False,False,False,False
same_hodge_different_singularity,53,71,False,True,True,,,p3=20|p4_0=5|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=26|p4_0=5|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,h12=2|h11=40|euler=76,h12=2|h11=40|euler=76,,False,False,False,False
same_hodge_different_singularity,54,83,False,True,True,,,p3=16|p4_0=6|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=1|h11=41|euler=80,h12=1|h11=41|euler=80,,False,False,False,False
same_hodge_different_singularity,56,62,False,True,True,,,p3=33|p4_0=1|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,p3=36|p4_0=0|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=5|h11=41|euler=72,h12=5|h11=41|euler=72,,False,False,False,False
same_hodge_different_singularity,57,63,False,True,True,,,p3=29|p4_0=2|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,p3=32|p4_0=1|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=4|h11=42|euler=76,h12=4|h11=42|euler=76,,False,False,False,False
same_hodge_different_singularity,58,64,False,True,True,,,p3=25|p4_0=3|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,p3=28|p4_0=2|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=3|h11=43|euler=80,h12=3|h11=43|euler=80,,False,False,False,False
same_hodge_different_singularity,59,65,False,True,True,,,p3=21|p4_0=4|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,p3=24|p4_0=3|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,h12=2|h11=44|euler=84,h12=2|h11=44|euler=84,,False,False,False,False
same_hodge_different_singularity,7,16,False,True,True,,,p3=16|p4_0=0|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3,p3=22|p4_0=0|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2,h12=3|h11=55|euler=104,h12=3|h11=55|euler=104,,False,False,False,False
same_hodge_different_singularity,8,13,False,True,True,,,p3=12|p4_0=1|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3,p3=9|p4_0=0|p4_1=9|p5_0=0|p5_1=1|p5_2=1|l3=3,h12=2|h11=56|euler=108,h12=2|h11=56|euler=108,,False,False,False,False
same_hodge_different_singularity,8,17,False,True,True,,,p3=12|p4_0=1|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3,p3=18|p4_0=1|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2,h12=2|h11=56|euler=108,h12=2|h11=56|euler=108,,False,False,False,False
same_modular_form_different_geometry,2,85,False,False,True,8k4A,8k4A,p3=4|p4_0=1|p4_1=4|p5_0=0|p5_1=0|p5_2=4|l3=4,p3=8|p4_0=12|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=0|h11=70|euler=140,h12=0|h11=44|euler=88,modular_form=8k4A,False,False,True,False
same_singularity_different_hodge,78,79,True,False,True,,,p3=32|p4_0=6|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,p3=32|p4_0=6|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=3|h11=35|euler=64,h12=4|h11=36|euler=64,,False,False,False,False
same_singularity_different_hodge,83,84,True,False,False,,6k4A,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=1|h11=41|euler=80,h12=0|h11=40|euler=80,,True,False,False,False
same_singularity_different_hodge,83,84a,True,False,False,,12k4A,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=1|h11=41|euler=80,h12=0|h11=40|euler=80,,False,False,False,False
same_singularity_different_hodge,84,84a,True,True,False,6k4A,12k4A,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=0|h11=40|euler=80,h12=0|h11=40|euler=80,,False,False,False,False
same_singularity_same_hodge_different_modular_form,84,84a,True,True,False,6k4A,12k4A,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,h12=0|h11=40|euler=80,h12=0|h11=40|euler=80,,False,True,False,False
