claim_level	directed	evidence_type	join_state	relationship_id	relationship_type	source_id	target_id
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e566032136f4d66441329542bc9b10bc03046a971ea0fd562b8cd1a12bf2af90	source_crosswalk	ckc:58	cynk_meyer_table1:58
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:fe451cd8262bb23eb8a8ee706e65b32b1c1b58d9fe6fd6002bf56233ae179a73	source_crosswalk	ckc:59	cynk_meyer_table1:59
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:40a28485ab62307ddb0d8e921baa4d9f1a5579867cd5b8b03b1817f047171ce7	source_crosswalk	ckc:60	cynk_meyer_table1:60
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:22aafe1f487aaba4b3818f7686f51f254427974e2b3cd815cbf5e389c699cc10	source_crosswalk	ckc:61	cynk_meyer_table1:61
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:3c8fcb24d423dc25332c4ba4421ca560babf2b2dcf4356c16844c4aa27abd4a3	source_crosswalk	ckc:62	cynk_meyer_table1:62
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e3f4b0770f0986bf062ca5c240c999aceb7b44212001dac4122a755b3bb77daf	source_crosswalk	ckc:63	cynk_meyer_table1:63
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:66a288496eb32211a2737909c37dc76c41c5cf98daf0aa25b83ff61de746879c	source_crosswalk	ckc:64	cynk_meyer_table1:64
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:a032ddbd3a6789f5820129115e65341d0ff2a7048f5fa2bf70bc0abab9dee590	source_crosswalk	ckc:65	cynk_meyer_table1:65
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:5693aa076f2018663e72a262cc18cd71beec81e02f57a3d68439d31d3cb833ed	source_crosswalk	ckc:66	cynk_meyer_table1:66
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:6c85b2696e7ca5a2b7c117d32fca67e84e8781e74fe64d5c99004f6f42702a5a	source_crosswalk	ckc:67	cynk_meyer_table1:67
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b55d7fd6e25717e87f14ff3434bb76ea5313eb7137231addede80427bb124c54	source_crosswalk	ckc:68	cynk_meyer_table1:68
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:8d852d660755bfdaf1669bcce1a7df756f037cf295b77ef037df67d2886e0f70	source_crosswalk	ckc:69	cynk_meyer_table1:69
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b7107f8f92829dd868853ee6714c974cd18a177ad504d6c2dc5079190243bb0d	source_crosswalk	ckc:70	cynk_meyer_table1:70
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:7cafbfeb90da1c6faf19fa9c9aa7fc641b675ca23bae219cf7336d516bb2ce0f	source_crosswalk	ckc:71	cynk_meyer_table1:71
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:1d4a0bddd58ec4637ba8cc5b39727c416fa5c4665b178bbd8b633035c278fb23	source_crosswalk	ckc:72	cynk_meyer_table1:72
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:297232ebce974b2c55effb9bc8a07f9a2929cc02cce019635925bc2654910783	source_crosswalk	ckc:73	cynk_meyer_table1:73
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:c874c52a3867cca112a8e2096b673bedc1d071e853d172ab27aecde1593ab95f	source_crosswalk	ckc:74	cynk_meyer_table1:74
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:31007f8fbfef62e0fc8a0b061eb9a1d699d1d001c67dff96a1cf47c11496a941	source_crosswalk	ckc:75	cynk_meyer_table1:75
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:18248a7e3c5616c4744bb68ac03ecde3e7fbf6b91db27d8463c1a9ee488efae5	source_crosswalk	ckc:76	cynk_meyer_table1:76
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:5f6065602c91d5532188c0f19fb0e6fb2f592c5bd444ffd61714dee76c8cc04d	source_crosswalk	ckc:77	cynk_meyer_table1:77
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b44ae4ce4fa1b8520ad45ef023995a1e85a2d98c28a46ffa2105535be9877024	source_crosswalk	ckc:78	cynk_meyer_table1:78
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:0f9113166b77b9a6c902c14aa4106fd382623d398e8d1593810e199e33260090	source_crosswalk	ckc:79	cynk_meyer_table1:79
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:f5e7c0427dd0b95a7753e11ca69d0cf9fbf4e8cf6eb9e55db3a21f70693bd754	source_crosswalk	ckc:80	cynk_meyer_table1:80
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:7b901cc52c4325c8b528b1f6ce041d11f038045b8cb452071db8c663e12a179a	source_crosswalk	ckc:81	cynk_meyer_table1:81
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:ce2f78c6d37e49c339bf2254fa03e946e42aec6d58cda60870c0f12df9c32f30	source_crosswalk	ckc:82	cynk_meyer_table1:82
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:c2d4db08e2f73c302d5ab6b41f4fc4fbede1d0cc9eb4f847fb0fd0305a28ed55	source_crosswalk	ckc:83	cynk_meyer_table1:83
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:2ba3fe29ba2ca8ab09ee4a4f195086d90dcd63ed624a3a959507f0cf05de4569	source_crosswalk	ckc:84	cynk_meyer_table1:84
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:a46b081f4083a6da9b8ab6a6b156e77771177740806b3b8a5a0b2693395d9ebb	source_crosswalk	ckc:85	cynk_meyer_table1:85
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:52e4d4b44cf16887e0cce53797513694cde114a9011dbfa7d7872188c1b5bc83	source_crosswalk	cynk_meyer_table1:1	cynk_meyer_table1:1
